Δήμος;Διαθέσιμα;Απλήρωτες Υποχρεώσεις σε Τρίτους (ΜΔ);Εκκρεμείς υποχρεώσεις σε Τρίτους (ΜΔ);Ληξιπρόθεσμες υποχρεώσεις σε Τρίτους (ΜΔ)
ΔΗΜΟΣ ΜΑΚΡΑΚΩΜΗΣ;3.054.606;252.868;147.881;103.855
ΔΗΜΟΣ ΜΑΛΕΒΙΖΙΟΥ;3.285.878;950.487;238.14;80.38
ΔΗΜΟΣ ΜΑΝΔΡΑΣ-ΕΙΔΥΛΛΙΑΣ;11.530.666;732.258;672.327;334.714
ΔΗΜΟΣ ΜΑΝΤΟΥΔΙΟΥ-ΛΙΜΝΗΣ-ΑΓΙΑΣ ΑΝΝΑΣ;2.844.756;1.856.611;1.807.881;479.643
ΔΗΜΟΣ ΜΑΡΑΘΩΝΟΣ;3.760.584;1.299.655;224.618;168.497
ΔΗΜΟΣ ΜΑΡΚΟΠΟΥΛΟΥ ΜΕΣΟΓΑΙΑΣ;1.656.961;4.142.634;3.256.728;2.352.103
ΔΗΜΟΣ ΜΑΡΩΝΕΙΑΣ-ΣΑΠΩΝ;2.450.536;293.43;268.03;117.066
ΔΗΜΟΣ ΜΕΓΑΛΟΠΟΛΗΣ;8.615.067;723.553;723.518;5.768
ΔΗΜΟΣ ΜΕΓΑΝΗΣΙΟΥ;273.903;14.824;14.783;48
ΔΗΜΟΣ ΜΕΓΑΡΕΩΝ;3.059.768;2.032.191;1.428.446;1.116.344
ΔΗΜΟΣ ΜΕΓΙΣΤΗΣ;3.544.296;47.641;23.425;21.165
ΔΗΜΟΣ ΜΕΣΣΗΝΗΣ;4.807.839;568.094;565.741;159.446
ΔΗΜΟΣ ΜΕΤΑΜΟΡΦΩΣΕΩΣ;9.145.128;578.397;549.405;44.215
ΔΗΜΟΣ ΜΕΤΕΩΡΩΝ;1.769.331;406.649;402.506;31.926
ΔΗΜΟΣ ΜΕΤΣΟΒΟΥ;910.391;328.849;328.849;36.394
ΔΗΜΟΣ ΜΗΛΟΥ;3.279.532;870.752;791.578;178.087
ΔΗΜΟΣ ΜΙΝΩΑ ΠΕΔΙΑΔΑΣ;4.185.487;1.314.269;1.313.778;112.131
ΔΗΜΟΣ ΜΟΝΕΜΒΑΣΙΑΣ;7.576.987;718.945;683.281;157.533
ΔΗΜΟΣ ΜΟΣΧΑΤΟΥ-ΤΑΥΡΟΥ;6.719.651;2.062.891;2.019.630;323.809
ΔΗΜΟΣ ΜΟΥΖΑΚΙΟΥ;2.884.610;655.825;606.742;68.874
ΔΗΜΟΣ ΜΥΚΗΣ;2.546.031;1.166.591;1.143.336;128.465
ΔΗΜΟΣ ΜΥΚΟΝΟΥ;14.397.487;4.063.571;3.951.162;16.213
ΔΗΜΟΣ ΜΥΛΟΠΟΤΑΜΟΥ;2.411.802;613.933;524.562;795
ΔΗΜΟΣ ΜΥΤΙΛΗΝΗΣ;26.890.393;2.639.432;2.081.435;81.279
ΔΗΜΟΣ ΝΑΞΟΥ ΚΑΙ ΜΙΚΡΩΝ ΚΥΚΛΑΔΩΝ;6.583.499;2.607.552;1.135.704;34.729
ΔΗΜΟΣ ΝΑΥΠΑΚΤΙΑΣ;5.704.262;1.693.418;1.673.766;512.667
ΔΗΜΟΣ ΝΑΥΠΛΙΕΩΝ;1.590.511;7.419.801;3.321.679;1.120.880
ΔΗΜΟΣ ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ;17.293.062;1.342.606;849.13;37.171
ΔΗΜΟΣ ΝΕΑΣ ΖΙΧΝΗΣ;1.770.627;296.396;99.697;0
ΔΗΜΟΣ ΝΕΑΣ ΙΩΝΙΑΣ;6.592.358;781.447;277.485;56.829
ΔΗΜΟΣ ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ;3.304.569;5.994.097;6.017.749;0
ΔΗΜΟΣ ΝΕΑΣ ΣΜΥΡΝΗΣ;6.761.106;2.264.629;1.391.406;540.8
ΔΗΜΟΣ ΝΕΑΣ ΦΙΛΑΔΕΛΦΕΙΑΣ - ΝΕΑΣ ΧΑΛΚΗΔΟΝΑΣ;2.532.232;1.325.660;1.138.276;214.36
ΔΗΜΟΣ ΝΕΜΕΑΣ;2.325.107;462.304;462.304;27.128
ΔΗΜΟΣ ΝΕΣΤΟΡΙΟΥ;105.52;417.894;414.054;36.928
ΔΗΜΟΣ ΝΕΣΤΟΥ;819.075;3.360.089;451.482;8.197
ΔΗΜΟΣ ΝΙΚΑΙΑΣ-ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ;8.518.589;1.251.049;1.029.259;603.755
ΔΗΜΟΣ ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ;945.792;1.227.119;1.218.848;541.785
ΔΗΜΟΣ ΝΙΣΥΡΟΥ;5.617.142;666.632;658.321;329.038
ΔΗΜΟΣ ΝΟΤΙΑΣ ΚΕΡΚΥΡΑΣ;ΜΗ ΥΠΟΒΟΛΗ ΣΤΟΙΧΕΙΩΝ;635.195;627.695;290.187
ΔΗΜΟΣ ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ;2.975.131;1.181.092;1.174.325;487.95
ΔΗΜΟΣ ΝΟΤΙΟΥ ΠΗΛΙΟΥ;1.403.149;1.458.670;751.765;249.656
ΔΗΜΟΣ ΞΑΝΘΗΣ;19.437.134;1.069.888;1.069.888;169.874
ΔΗΜΟΣ ΞΗΡΟΜΕΡΟΥ;1.369.413;1.258.395;1.258.395;91.922
ΔΗΜΟΣ ΞΥΛΟΚΑΣΤΡΟΥ-ΕΥΡΩΣΤΙΝΗΣ;2.615.314;582.557;583.324;33.528
