Date,Value,isCovid,isHoliday,isChristmas,isWeekday,isSummer,index
2020-07-15 00:00:00,0.819999999999936,0,0,0,1,1,1
2020-07-16 00:00:00,1.20000000000005,0,0,0,1,1,1
2020-07-17 00:00:00,0.699999999999932,0,0,0,1,1,1
2020-07-18 00:00:00,0.980000000000018,0,0,0,0,1,1
2020-07-19 00:00:00,0.0,0,0,0,0,1,1
2020-07-20 00:00:00,0.0,0,0,0,1,1,1
2020-07-21 00:00:00,1.82000000000005,0,0,0,1,1,1
2020-07-22 00:00:00,0.829999999999927,0,0,0,1,1,1
2020-07-23 00:00:00,1.22000000000003,0,0,0,1,1,1
2020-07-24 00:00:00,0.769999999999982,0,0,0,1,1,1
2020-07-25 00:00:00,1.04000000000008,0,0,0,0,1,1
2020-07-26 00:00:00,0.0,0,0,0,0,1,1
2020-07-27 00:00:00,0.0,0,0,0,1,1,1
2020-07-28 00:00:00,1.15999999999997,0,0,0,1,1,1
2020-07-29 00:00:00,0.710000000000036,0,0,0,1,1,1
2020-07-30 00:00:00,1.02999999999997,0,0,0,1,1,1
2020-07-31 00:00:00,0.720000000000027,0,0,0,1,1,1
2020-08-01 00:00:00,1.13999999999999,0,0,0,0,1,1
2020-08-02 00:00:00,0.0,0,0,0,0,1,1
2020-08-03 00:00:00,0.0,0,0,0,1,1,1
2020-08-04 00:00:00,1.05999999999995,0,0,0,1,1,1
2020-08-05 00:00:00,0.730000000000018,0,0,0,1,1,1
2020-08-06 00:00:00,1.13999999999999,0,0,0,1,1,1
2020-08-07 00:00:00,0.560000000000059,0,0,0,1,1,1
2020-08-08 00:00:00,1.02999999999997,0,0,0,0,1,1
2020-08-09 00:00:00,0.0299999999999727,0,0,0,0,1,1
2020-08-10 00:00:00,0.0800000000000409,0,0,0,1,1,1
2020-08-11 00:00:00,0.92999999999995,0,0,0,1,1,1
2020-08-12 00:00:00,0.560000000000059,0,0,0,1,1,1
2020-08-13 00:00:00,0.870000000000005,0,0,0,1,1,1
2020-08-14 00:00:00,0.649999999999977,0,0,0,1,1,1
2020-08-15 00:00:00,0.970000000000027,0,1,0,0,1,1
2020-08-16 00:00:00,0.0,0,0,0,0,1,1
2020-08-17 00:00:00,0.0,0,0,0,1,1,1
2020-08-18 00:00:00,0.879999999999995,0,0,0,1,1,1
2020-08-19 00:00:00,0.879999999999995,0,0,0,1,1,1
2020-08-20 00:00:00,0.919999999999959,0,0,0,1,1,1
2020-08-21 00:00:00,0.649999999999977,0,0,0,1,1,1
2020-08-22 00:00:00,0.659999999999968,0,0,0,0,1,1
2020-08-23 00:00:00,0.0,0,0,0,0,1,1
2020-08-24 00:00:00,0.0,0,0,0,1,1,1
2020-08-25 00:00:00,1.04000000000008,0,0,0,1,1,1
2020-08-26 00:00:00,0.730000000000018,0,0,0,1,1,1
2020-08-27 00:00:00,0.769999999999982,0,0,0,1,1,1
2020-08-28 00:00:00,1.24000000000001,0,0,0,1,1,1
2020-08-29 00:00:00,0.649999999999977,0,0,0,0,1,1
2020-08-30 00:00:00,0.0199999999999818,0,0,0,0,1,1
2020-08-31 00:00:00,0.0,0,0,0,1,1,1
2020-09-01 00:00:00,1.20000000000005,0,0,0,1,1,1
2020-09-02 00:00:00,0.740000000000009,0,0,0,1,1,1
2020-09-03 00:00:00,1.03999999999996,0,0,0,1,1,1
2020-09-04 00:00:00,0.730000000000018,0,0,0,1,1,1
2020-09-05 00:00:00,1.01999999999998,0,0,0,0,1,1
2020-09-06 00:00:00,0.0299999999999727,0,0,0,0,1,1
2020-09-07 00:00:00,0.0,0,0,0,1,1,1
2020-09-08 00:00:00,0.980000000000018,0,0,0,1,1,1
2020-09-09 00:00:00,0.639999999999986,0,0,0,1,1,1
2020-09-10 00:00:00,1.0,0,0,0,1,1,1
2020-09-11 00:00:00,0.730000000000018,0,0,0,1,0,1
2020-09-12 00:00:00,0.980000000000018,0,0,0,0,0,1
2020-09-13 00:00:00,0.0499999999999545,0,0,0,0,0,1
2020-09-14 00:00:00,0.0099999999999909,0,0,0,1,0,1
2020-09-15 00:00:00,1.07000000000005,0,0,0,1,0,1
2020-09-16 00:00:00,2.85000000000002,0,0,0,1,0,1
2020-09-17 00:00:00,3.01999999999998,0,0,0,1,0,1
2020-09-18 00:00:00,2.38,0,0,0,1,0,1
2020-09-19 00:00:00,2.29999999999995,0,0,0,0,0,1
2020-09-20 00:00:00,0.07000000000005,0,0,0,0,0,1
2020-09-21 00:00:00,0.0,0,0,0,1,0,1
2020-09-22 00:00:00,1.32999999999993,0,0,0,1,0,1
2020-09-23 00:00:00,1.12,0,0,0,1,0,1
2020-09-24 00:00:00,1.23000000000002,0,0,0,1,0,1
2020-09-25 00:00:00,1.64999999999998,0,0,0,1,0,1
2020-09-26 00:00:00,1.81000000000006,0,0,0,0,0,1
2020-09-27 00:00:00,0.200000000000045,0,0,0,0,0,1
2020-09-28 00:00:00,0.0,0,0,0,1,0,1
2020-09-29 00:00:00,2.28999999999996,0,0,0,1,0,1
2020-09-30 00:00:00,1.52999999999997,0,0,0,1,0,1
2020-10-01 00:00:00,2.76999999999998,0,0,0,1,0,1
2020-10-02 00:00:00,8.75,0,0,0,1,0,1
2020-10-03 00:00:00,27.01,0,0,0,0,0,1
2020-10-04 00:00:00,0.110000000000014,0,0,0,0,0,1
2020-10-05 00:00:00,0.0,0,0,0,1,0,1
2020-10-06 00:00:00,1.23000000000002,0,0,0,1,0,1
2020-10-07 00:00:00,5.10000000000002,0,0,0,1,0,1
2020-10-08 00:00:00,12.1899999999999,0,0,0,1,0,1
2020-10-09 00:00:00,13.38,0,0,0,1,0,1
2020-10-10 00:00:00,1.45000000000005,0,0,0,0,0,1
2020-10-11 00:00:00,0.259999999999991,0,0,0,0,0,1
2020-10-12 00:00:00,0.0,0,0,0,1,0,1
2020-10-13 00:00:00,1.53999999999996,0,0,0,1,0,1
2020-10-14 00:00:00,1.08000000000004,0,0,0,1,0,1
2020-10-15 00:00:00,1.37,0,0,0,1,0,1
2020-10-16 00:00:00,1.17999999999995,0,0,0,1,0,1
2020-10-17 00:00:00,1.53000000000009,0,0,0,0,0,1
2020-10-18 00:00:00,0.569999999999936,0,0,0,0,0,1
2020-10-19 00:00:00,0.0,0,0,0,1,0,1
2020-10-20 00:00:00,1.42000000000007,0,0,0,1,0,1
2020-10-21 00:00:00,1.05999999999995,0,0,0,1,0,1
2020-10-22 00:00:00,1.57000000000005,0,0,0,1,0,1
2020-10-23 00:00:00,1.06999999999994,0,0,0,1,0,1
2020-10-24 00:00:00,1.34000000000003,0,0,0,0,0,1
2020-10-25 00:00:00,0.5,0,0,0,0,0,1
2020-10-26 00:00:00,0.0,0,0,0,1,0,1
2020-10-27 00:00:00,1.54999999999995,0,0,0,1,0,1
2020-10-28 00:00:00,1.20000000000005,0,1,0,1,0,1
2020-10-29 00:00:00,0.0,0,0,0,1,0,1
2020-10-30 00:00:00,1.04999999999995,0,0,0,1,0,1
2020-10-31 00:00:00,1.42000000000007,0,0,0,0,0,1
2020-11-01 00:00:00,0.439999999999941,1,0,0,0,0,1
2020-11-02 00:00:00,0.0,1,0,0,1,0,1
2020-11-03 00:00:00,1.50999999999999,1,0,0,1,0,1
2020-11-04 00:00:00,1.12,1,0,0,1,0,1
