ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
1327,37.9699196,23.6558203,7,ΝΙΚΑΙΑΣ,1.5,ΣΗΣΤΟΥ 7  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18454,ΣΗΣΤΟΥ,10 & 22 ΔΗΜΟΤΙΚΑ ΝΙΚΑΙΑΣ,ΑΡΜΕΝΙΚΑ,18454.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"19194,28",151.0,123.0
1328,37.9763384,23.6246953,7,ΚΕΡΑΤΣΙΝΙΟΥ,5/8,ΣΗΣΤΟΥ 7 Ξ Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18758,ΣΗΣΤΟΥ,Α ΝΗΠΙΑΓΩΓΕΙΟ,ΑΓ. ΑΝΤΩΝΙΟΣ,18758.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19940,8",21.0,21.0
1329,38.0162114,23.7137911,4,ΑΓ. ΑΝΑΡΓΥΡΩΝ,1,ΣΗΤΕΙΑΣ 4  Δήμος ΑΓ. ΑΝΑΡΓΥΡΩΝ ΤΚ 13561,ΣΗΤΕΙΑΣ,1 & 3 ΤΕΕ ΑΓ. ΑΝΑΡΓΥΡΩΝ,ΑΓ. ΑΝΑΡΓΥΡΟΙ,13561.0,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ - ΚΑΜΑΤΕΡΟΥ,61427.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20219,73",358.0,120.0
1330,37.9468492,23.6258256,161,ΔΡΑΠΕΤΣΩΝΑΣ,5/8,ΣΙΚΕΛΙΑΝΟΥ ΑΓΓ. 161  Δήμος ΔΡΑΠΕΤΣΩΝΑΣ ΤΚ 18648,ΣΙΚΕΛΙΑΝΟΥ ΑΓΓ.,ΔΗΜΟΤ.ΣΧΟΛΕΙΟ,ΔΡΑΠΕΤΣΩΝΑ,18648.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"18932,8",242.0,262.0
1331,37.9801609,23.6404453,24,ΝΙΚΑΙΑΣ,1.5,ΣΙΚΕΛΙΑΝΟΥ ΑΓΓ. 24  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18452,ΣΙΚΕΛΙΑΝΟΥ ΑΓΓ.,9 ΓΥΜΝΑΣΙΟ ΝΙΚΑΙΑΣ,ΝΕΑΠΟΛΗ,18452.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"19739,51",138.0,135.0
1332,37.9801609,23.6404453,26,ΝΙΚΑΙΑΣ,1,ΣΙΚΕΛΙΑΝΟΥ ΑΓΓ. 26  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18452,ΣΙΚΕΛΙΑΝΟΥ ΑΓΓ.,12-21 ΝΗΠ/ΓΕΙΑ ΝΙΚΑΙΑΣ,ΝΕΑΠΟΛΗ,18452.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"19739,51",0.0,0.0
1333,37.9801609,23.6404453,32,ΝΙΚΑΙΑΣ,1.5,ΣΙΚΕΛΙΑΝΟΥ ΑΓΓ. 32  Δήμος ΝΙΚΑΙΑΣ ΤΚ 18452,ΣΙΚΕΛΙΑΝΟΥ ΑΓΓ.,5 ΛΥΚΕΙΟ ΝΙΚΑΙΑΣ,ΝΕΑΠΟΛΗ,18452.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"19739,51",160.0,203.0
1334,38.0672837,22.656304,8,ΚΟΡΥΔΑΛΛΟΥ,2,ΣΙΚΕΛΙΑΝΟΥ ΑΓΓ. 8  Δήμος ΚΟΡΥΔΑΛΛΟΥ ΤΚ 18122,ΣΙΚΕΛΙΑΝΟΥ ΑΓΓ.,,ΑΝΩ ΚΟΡΥΔΑΛΛΟΣ,18122.0,ΚΟΡΥΔΑΛΛΟΥ,61247.0,Περιφερειακή Ενότητα Πειραιώς,"19722,3",59.5,72.0
1335,37.9616681,23.7207503,7,ΑΘΗΝΑΙΩΝ,,ΣΙΚΕΛΙΑΣ 7  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11741,ΣΙΚΕΛΙΑΣ,14 ΗΜΕΡΗΣΙΟ ΓΕΛ,ΚΟΥΚΑΚΙ,11741.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"20917,48",0.0,0.0
1336,37.9824362,23.7402008,70,ΑΘΗΝΑΙΩΝ,,ΣΙΝΑ 70  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 10672,ΣΙΝΑ,,ΚΟΛΩΝΑΚΙ,10672.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"49657,25",74.0,39.0
1337,38.0314482,23.7449198,2,ΑΘΗΝΑΙΩΝ,,ΣΙΝΟΠΟΥΛΟΥ 2  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11142,ΣΙΝΟΠΟΥΛΟΥ,,ΡΙΖΟΥΠΟΛΗ,11142.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"22769,28",82.5,74.0
1338,38.0293808,23.7492583,52,ΑΘΗΝΑΙΩΝ,5/8,ΣΙΝΟΠΟΥΛΟΥ 52 Μ Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11142,ΣΙΝΟΠΟΥΛΟΥ,34 & 88 ΔΗΜΟΤΙΚΟ,ΡΙΖΟΥΠΟΛΗ,11142.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"22769,28",102.0,78.0
1339,38.0245958,23.7462023,62,ΑΘΗΝΑΙΩΝ,1.5,ΣΙΤΑΚΗΣ 62  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11142,ΣΙΤΑΚΗΣ,113 ΔΗΜΟΤΙΚΟ/ 98 & 121 ΝΗΠΙΑΓ,ΛΑΜΠΡΙΝΗ,11142.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"22769,28",0.0,0.0
1340,37.9859859,23.6630186,18,ΑΓ. ΒΑΡΒΑΡΑΣ,1.5,ΣΙΦΝΟΥ 18  Δήμος ΑΓ. ΒΑΡΒΑΡΑΣ ΤΚ 12351,ΣΙΦΝΟΥ,Δ ΔΗΜΟΤΙΚΟ,ΑΡ. ΕΛ. ΒΕΝΙΖΕΛΟΥ,12351.0,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,26759.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"16992,47",88.0,76.0
