ΑΑ,latitude,longitude,ΑΡΙΘΜΟΣ,ΔΗΜΟΣ,ΔΙΑΜΕΤΡΟΣ,ΔΙΕΥΘΥΝΣΗ,ΟΔΟΣ,ΟΝΟΜΑ,ΠΕΡΙΟΧΗ,ΤΚ,ΚΑΛΛΙΚΡΑΤΙΚΟΣ,ΠΛΗΘΥΣΜΟΣ,ΤΟΜΕΑΣ,ΕΙΣΟΔΗΜΑ,ΑΡΙΘΜΟΣ ΑΓΟΡΙΩΝ,ΑΡΙΘΜΟΣ ΚΟΡΙΤΣΙΩΝ
145,37.9181602,23.7219738,36,ΑΛΙΜΟΥ,1.5,ΑΜΜΟΧΩΣΤΟΥ 36  Δήμος ΑΛΙΜΟΥ ΤΚ 17455,ΑΜΜΟΧΩΣΤΟΥ,2 ΓΥΜΝΑΣΙΟ,ΑΜΠΕΛΑΚΙΑ,17455.0,ΑΛΙΜΟΥ,42872.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"30010,81",114.0,127.0
146,37.9182847,23.7226681,37,ΑΛΙΜΟΥ,1.5,ΑΜΜΟΧΩΣΤΟΥ 37 Ξ Δήμος ΑΛΙΜΟΥ ΤΚ 17455,ΑΜΜΟΧΩΣΤΟΥ,5 ΓΥΜΝΑΣΙΟ,ΑΜΠΕΛΑΚΙΑ,17455.0,ΑΛΙΜΟΥ,42872.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"30010,81",0.0,0.0
147,37.9526863,23.6621872,12,ΠΕΙΡΑΙΩΣ,1,ΑΜΟΡΓΟΥ 12  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18541,ΑΜΟΡΓΟΥ,14 ΔΗΜΟΤΙΚΟ,ΑΠΟΛΛΩΝ,18541.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"18316,67",107.0,106.0
148,37.9530554,23.6623561,16,ΠΕΙΡΑΙΩΣ,5/8,ΑΜΟΡΓΟΥ 16  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18541,ΑΜΟΡΓΟΥ,4 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΠΟΛΛΩΝ,18541.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"18316,67",16.0,25.0
149,37.988334,23.7571275,24,ΑΘΗΝΑΙΩΝ,1,ΑΜΠΕΛΑΚΙΩΝ 24  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11522,ΑΜΠΕΛΑΚΙΩΝ,17 ΔΗΜΟΤΙΚΟ / 124 & 17 ΝΗΠΙΑΓ,ΑΒΕΡΩΦ,11522.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21806,86",0.0,0.0
150,37.988334,23.7571275,26,ΑΘΗΝΑΙΩΝ,5/8,ΑΜΠΕΛΑΚΙΩΝ 26  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11522,ΑΜΠΕΛΑΚΙΩΝ,17 ΔΗΜΟΤΙΚΟ / 124 & 17 ΝΗΠΙΑΓ,ΑΒΕΡΩΦ,11522.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"21806,86",0.0,0.0
151,37.9649018,23.6435029,18,ΝΙΚΑΙΑΣ,1,ΑΜΥΡΑΔΑΚΗ 18 Α Δήμος ΝΙΚΑΙΑΣ ΤΚ 18450,ΑΜΥΡΑΔΑΚΗ,Ε ΔΗΜΟΤΙΚΟ ΣΧ ΝΙΚΑΙΑΣ,ΟΣΙΑ ΞΕΝΗ,18450.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"17583,36",0.0,0.0
152,37.9633651,23.6442933,4,ΝΙΚΑΙΑΣ,5/8,ΑΜΥΡΑΔΑΚΗ 4 Α Δήμος ΝΙΚΑΙΑΣ ΤΚ 18450,ΑΜΥΡΑΔΑΚΗ,2 ΓΥΜΝΑΣΙΟ ΝΙΚΑΙΑΣ,ΟΣΙΑ ΞΕΝΗ,18450.0,ΝΙΚΑΙΑΣ - ΑΓΙΟΥ ΙΩΑΝΝΗ ΡΕΝΤΗ,103355.0,Περιφερειακή Ενότητα Πειραιώς,"17583,36",0.0,0.0
153,37.9402314,23.7008821,29,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,5/8,ΑΜΦΙΘΕΑΣ ΛΕΩΦ. 29  Δήμος ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ ΤΚ 17564,ΑΜΦΙΘΕΑΣ ΛΕΩΦ.,5 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΑΜΦΙΘΕΑ,17564.0,ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ,64879.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"25788,04",119.0,124.0
154,37.9580395,23.7396916,6,ΑΘΗΝΑΙΩΝ,,ΑΜΦΙΚΡΑΤΟΥΣ 6  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11631,ΑΜΦΙΚΡΑΤΟΥΣ,90 & 123 ΔΗΜ / 68 & 88 ΝΗΠ,ΓΟΥΒΑ,11631.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"20844,79",0.0,0.0
155,37.9760654,23.7038101,52,ΑΘΗΝΑΙΩΝ,1.5,ΑΜΦΙΠΟΛΕΩΣ 52  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11855,ΑΜΦΙΠΟΛΕΩΣ,63 ΓΥΜΝΑΣΙΟ,ΒΟΤΑΝΙΚΟΣ,11855.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"19656,08",104.0,101.0
156,38.0602735,23.7766786,22,ΗΡΑΚΛΕΙΟΥ,5/8,ΑΝΑΓΕΝΝΗΣΕΩΣ 22  Δήμος ΗΡΑΚΛΕΙΟΥ ΤΚ 14121,ΑΝΑΓΕΝΝΗΣΕΩΣ,5 ΔΗΜΟΤΙΚΟ,Π. ΗΡΑΚΛΕΙΟ,14121.0,ΗΡΑΚΛΕΙΟΥ,50495.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"26223,75",132.0,110.0
157,38.0095903,23.6670983,25,ΧΑΙΔΑΡΙΟΥ,,ΑΝΑΓΕΝΝΗΣΕΩΣ 25  Δήμος ΧΑΙΔΑΡΙΟΥ ΤΚ 12461,ΑΝΑΓΕΝΝΗΣΕΩΣ,,ΧΑΙΔΑΡΙ,12461.0,ΧΑΪΔΑΡΙΟΥ,46983.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"21504,68",0.0,0.0
158,38.0778167,23.7214117,2,ΑΧΑΡΝΩΝ,2,ΑΝΑΓΝΩΣΤΑΡΑ 2  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13672,ΑΝΑΓΝΩΣΤΑΡΑ,23 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΑΥΛΙΖΑ,13672.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"17947,38",79.0,59.0
159,37.9741333,23.6263895,66,ΚΕΡΑΤΣΙΝΙΟΥ,5/8,ΑΝΑΓΝΩΣΤΑΡΑ 66  Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18757,ΑΝΑΓΝΩΣΤΑΡΑ,15 ΝΗΠΙΑΓΩΓΕΙΟ ΚΕΡΑΤΣΙΝΙΟΥ,ΑΜΦΙΑΛΗ,18757.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19724,01",14.0,11.0
160,38.0487093,23.6820858,13,ΠΕΤΡΟΥΠΟΛΕΩΣ,2,ΑΝΑΓΝΩΣΤΑΡΑ ΧΡ. 13  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13232,ΑΝΑΓΝΩΣΤΑΡΑ ΧΡ.,4 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΠΕΤΡΟΥΠΟΛΗ,13232.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,,0.0,0.0
161,37.9742503,23.627834,18,ΚΕΡΑΤΣΙΝΙΟΥ,5/8,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ 18  Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18757,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ,15 ΔΗΜΟΤΙΚΟ ΝΗΠΙΑΓΩΓΕΙΟ,ΑΓ. ΑΝΤΩΝΙΟΣ,18757.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19724,01",14.0,11.0
162,37.9510746,23.6349827,1,ΔΡΑΠΕΤΣΩΝΑΣ,,ΑΝΑΠΑΥΣΕΩΣ 1  Δήμος ΔΡΑΠΕΤΣΩΝΑΣ ΤΚ 18648,ΑΝΑΠΑΥΣΕΩΣ,4 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΚΟΠΗ,18648.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"18932,8",146.0,135.0
163,38.000201,23.417416399999997,2,ΝΕΑΣ ΠΕΡΑΜΟΥ,5/8,ΑΝΑΠΑΥΣΕΩΣ 2  Δήμος ΝΕΑΣ ΠΕΡΑΜΟΥ ΤΚ 19006,ΑΝΑΠΑΥΣΕΩΣ,,ΝΕΑ ΠΕΡΑΜΟΣ,19006.0,ΜΕΓΑΡΕΩΝ,38046.0,Περιφερειακή Ενότητα Δυτικής Αττικής,"17961,75",37.0,37.0
164,37.9661896,23.7344799,20,ΑΘΗΝΑΙΩΝ,5/8,ΑΝΑΠΑΥΣΕΩΣ 20  Δήμος ΑΘΗΝΑΙΩΝ ΤΚ 11636,ΑΝΑΠΑΥΣΕΩΣ,ΠΡΩΤΟΒΑΘΜΙΑ ΕΠΙΤΡΟΠΗ ΕΚΠΑΙΔ 2Η ΔΗΜ ΚΟΙΝ ΔΗΜΟΣ ΑΘΗΝΑΙΩΝ,ΜΕΤΣ,11636.0,ΑΘΗΝΑΙΩΝ,637798.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"26419,63",0.0,0.0
165,37.964517,23.5587578,6,ΠΕΡΑΜΑΤΟΣ,,ΑΝΑΠΑΥΣΕΩΣ 6 Ξ Δήμος ΠΕΡΑΜΑΤΟΣ ΤΚ 18863,ΑΝΑΠΑΥΣΕΩΣ,ΓΥΜΝΑΣΙΟ ΛΥΚΕΙΟ,ΤΕΡΜΑ,18863.0,ΠΕΡΑΜΑΤΟΣ,25636.0,Περιφερειακή Ενότητα Πειραιώς,"18546,09",133.0,119.0
166,37.9411985,23.7639101,24,ΗΛΙΟΥΠΟΛΕΩΣ,5/8,ΑΝΑΣΤΑΣΕΩΣ 24  Δήμος ΗΛΙΟΥΠΟΛΕΩΣ ΤΚ 16343,ΑΝΑΣΤΑΣΕΩΣ,12 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΓ. ΜΑΡΙΝΑ,16343.0,ΗΛΙΟΥΠΟΛΕΩΣ,76708.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"23211,31",16.0,17.0
167,38.0129471,23.713031,21,ΠΕΡΙΣΤΕΡΙΟΥ,5/8,ΑΝΑΤΟΛΗΣ 21  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12133,ΑΝΑΤΟΛΗΣ,47 ΔΗΜΟΤΙΚΟ,ΜΠΟΥΡΝΑΖΙ,12133.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20610,61",64.0,51.0
168,38.0042298,23.8864512,4,ΠΑΛΛΗΝΗΣ,5/8,ΑΝΑΤΟΛΗΣ 4  Δήμος ΠΑΛΛΗΝΗΣ ΤΚ 15351,ΑΝΑΤΟΛΗΣ,2 ΔΗΜΟΤΙΚΟ,ΠΑΛΛΗΝΗ,15351.0,ΠΑΛΛΗΝΗΣ,60435.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,,0.0,0.0
169,37.8913167,23.7688376,103,ΓΛΥΦΑΔΑΣ,5/8,ΑΝΑΤΟΛΙΚΗΣ ΡΩΜΥΛΙΑΣ 103  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16562,ΑΝΑΤΟΛΙΚΗΣ ΡΩΜΥΛΙΑΣ,7 ΓΥΜΝΑΣΙΟ,ΤΕΡΨΙΘΕΑ,16562.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23539,19",123.0,112.0
170,38.0380984,23.6845536,118,ΠΕΤΡΟΥΠΟΛΕΩΣ,2,ΑΝΑΤΟΛΙΚΗΣ ΡΩΜΥΛΙΑΣ 118  Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,ΑΝΑΤΟΛΙΚΗΣ ΡΩΜΥΛΙΑΣ,Α ΓΥΜΝΑΣΙΟ ΠΕΤΡΟΥΠΟΛΗΣ,ΠΕΤΡΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",161.0,154.0
171,38.0380984,23.6845536,118,ΠΕΤΡΟΥΠΟΛΕΩΣ,1,ΑΝΑΤΟΛΙΚΗΣ ΡΩΜΥΛΙΑΣ 118 Α Δήμος ΠΕΤΡΟΥΠΟΛΕΩΣ ΤΚ 13231,ΑΝΑΤΟΛΙΚΗΣ ΡΩΜΥΛΙΑΣ,110Ν ΝΗΠΙΑΓΩΓΕΙΟ ΠΕ 3ΟΝ Ν/Γ,ΠΕΤΡΟΥΠΟΛΗ,13231.0,ΠΕΤΡΟΥΠΟΛΕΩΣ,60166.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"22278,95",24.0,18.0
172,37.8918305,23.7685918,99,ΓΛΥΦΑΔΑΣ,1,ΑΝΑΤΟΛΙΚΗΣ ΡΩΜΥΛΙΑΣ 99  Δήμος ΓΛΥΦΑΔΑΣ ΤΚ 16562,ΑΝΑΤΟΛΙΚΗΣ ΡΩΜΥΛΙΑΣ,14 ΣΧΟΛΕΙΑ - ΔΗΜΟΤΙΚΟ,ΤΕΡΨΙΘΕΑ,16562.0,ΓΛΥΦΑΔΑΣ,89605.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23539,19",124.0,105.0
173,38.0441198,23.7767838,13,ΗΡΑΚΛΕΙΟΥ,1,ΑΝΑΦΗΣ 13  Δήμος ΗΡΑΚΛΕΙΟΥ ΤΚ 14121,ΑΝΑΦΗΣ,,ΝΕΟ ΗΡΑΚΛΕΙΟ,14121.0,ΗΡΑΚΛΕΙΟΥ,50495.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"26223,75",149.0,156.5
174,38.0899432,23.7278918,0,ΑΧΑΡΝΩΝ,1,ΑΝΔΑΝΕΙΑΣ 0  Δήμος ΑΧΑΡΝΩΝ ΤΚ 13672,ΑΝΔΑΝΕΙΑΣ,,ΝΕΑΠΟΛΗ,13672.0,ΑΧΑΡΝΩΝ,108130.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"17947,38",141.5,182.0
175,37.9306469,23.6332384,8,ΠΕΙΡΑΙΩΣ,5/8,ΑΝΔΡΙΑΝΟΠΟΥΛΟΥ 8  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18539,ΑΝΔΡΙΑΝΟΠΟΥΛΟΥ,34 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΚΑΛΛΙΠΟΛΗ,18539.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"23290,9",218.0,220.0
176,37.98899,23.8481422,26,Δ.Ε. ΓΛΥΚΩΝ ΝΕΡΩΝ,5/8,ΑΝΔΡΙΚΟΥ ΚΩΝ. 26  Δήμος Δ.Ε. ΓΛΥΚΩΝ ΝΕΡΩΝ ΤΚ 15354,ΑΝΔΡΙΚΟΥ ΚΩΝ.,ΣΧΟΛΙΚΗ ΕΠΙΤΡΟΠΗ Α/ΘΜΙΑΣ ΕΚΠΑΙΔΕΥΣΗΣ ,ΓΛΥΚΑ ΝΕΡΑ,15354.0,ΠΑΙΑΝΙΑΣ,27916.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"26814,73",0.0,0.0
177,37.9530131,23.666723,45,ΠΕΙΡΑΙΩΣ,5/8,ΑΝΔΡΙΤΣΑΙΝΗΣ 45  Δήμος ΠΕΙΡΑΙΩΣ ΤΚ 18541,ΑΝΔΡΙΤΣΑΙΝΗΣ,8 ΝΗΠΙΑΓΩΓΕΙΟ,ΑΠΟΛΛΩΝ,18541.0,ΠΕΙΡΑΙΩΣ,163572.0,Περιφερειακή Ενότητα Πειραιώς,"18316,67",20.0,25.0
178,38.0372354,23.7146677,1,ΙΛΙΟΥ,1,ΑΝΔΡΟΜΑΧΗΣ 1  Δήμος ΙΛΙΟΥ ΤΚ 13122,ΑΝΔΡΟΜΑΧΗΣ,,ΙΛΙΟΝ,13122.0,ΙΛΙΟΥ,83523.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20613,51",94.5,85.5
179,37.9453808,23.6938353,289,ΚΑΛΛΙΘΕΑΣ,5/8,ΑΝΔΡΟΜΑΧΗΣ 289  Δήμος ΚΑΛΛΙΘΕΑΣ ΤΚ 17674,ΑΝΔΡΟΜΑΧΗΣ,7 ΓΥΜΝΑΣΙΟ,ΤΖΙΤΖΙΦΙΕΣ,17674.0,ΚΑΛΛΙΘΕΑΣ,96118.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"20728,45",107.0,97.0
180,37.9685507,23.6267618,1,ΚΕΡΑΤΣΙΝΙΟΥ,1.5,ΑΝΔΡΟΥ 1  Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18757,ΑΝΔΡΟΥ,14 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΑΜΦΙΑΛΗ,18757.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19724,01",132.0,138.0
181,37.9577537,23.6932155,10,ΜΟΣΧΑΤΟΥ,5/8,ΑΝΔΡΟΥ 10  Δήμος ΜΟΣΧΑΤΟΥ ΤΚ 18345,ΑΝΔΡΟΥ,Δ' ΝΗΠΙΑΓΩΓΕΙΟ,ΙΛΙΣΣΟΣ,18345.0,ΜΟΣΧΑΤΟΥ – ΤΑΥΡΟΥ,39507.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23247,72",0.0,0.0
182,38.031306,23.7155447,28,ΙΛΙΟΥ,,ΑΝΔΡΟΥ 28  Δήμος ΙΛΙΟΥ ΤΚ 13122,ΑΝΔΡΟΥ,21 ΝΗΠΙΑΓΩΓΕΙΟ,ΙΛΙΟΝ,13122.0,ΙΛΙΟΥ,83523.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"20613,51",16.0,18.0
183,38.0345163,23.8210199,20,ΧΑΛΑΝΔΡΙΟΥ,1,ΑΝΔΡΟΥΤΣΟΥ ΟΔ. 20 Ξ Δήμος ΧΑΛΑΝΔΡΙΟΥ ΤΚ 15233,ΑΝΔΡΟΥΤΣΟΥ ΟΔ.,12 ΝΗΠ. ΣΧ. ΕΠ. Α/ΘΜΙΑΣ ΕΚΠΑΙΔ.,ΧΑΛΑΝΔΡΙ,15233.0,ΧΑΛΑΝΔΡΙΟΥ,77118.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"30327,34",30.0,22.0
184,38.0676954,23.7276599,9,ΚΕΡΑΤΣΙΝΙΟΥ,1,ΑΝΔΡΟΥΤΣΟΥ ΟΔ. 9 Μ Δήμος ΚΕΡΑΤΣΙΝΙΟΥ ΤΚ 18756,ΑΝΔΡΟΥΤΣΟΥ ΟΔ.,7 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ,ΑΓ. ΓΕΩΡΓΙΟΣ,18756.0,ΚΕΡΑΤΣΙΝΙΟΥ - ΔΡΑΠΕΤΣΩΝΑΣ,89386.0,Περιφερειακή Ενότητα Πειραιώς,"19669,7",244.0,194.0
185,37.9150623,23.7450911,2,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,5/8,ΑΝΕΞΑΡΤΗΣΙΑΣ 2  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16451,ΑΝΕΞΑΡΤΗΣΙΑΣ,2 ΔΗΜΟΤΙΚΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16451.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23826,53",105.0,100.0
186,37.9151885,23.7450836,4,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,5/8,ΑΝΕΞΑΡΤΗΣΙΑΣ 4  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16451,ΑΝΕΞΑΡΤΗΣΙΑΣ,5 ΔΗΜΟΤΙΚΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16451.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23826,53",88.0,83.0
187,37.992785,23.649715,42,ΑΓ. ΒΑΡΒΑΡΑΣ,1,ΑΝΕΞΑΡΤΗΣΙΑΣ 42  Δήμος ΑΓ. ΒΑΡΒΑΡΑΣ ΤΚ 12351,ΑΝΕΞΑΡΤΗΣΙΑΣ,1 ΓΥΜΝΑΣΙΟ,ΔΕΞ. ΕΛ. ΒΕΝΙΖΕΛΟΥ,12351.0,ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ,26759.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"16992,47",114.0,97.0
188,37.9151885,23.7450836,6,ΑΡΓΥΡΟΥΠΟΛΕΩΣ,5/8,ΑΝΕΞΑΡΤΗΣΙΑΣ 6  Δήμος ΑΡΓΥΡΟΥΠΟΛΕΩΣ ΤΚ 16451,ΑΝΕΞΑΡΤΗΣΙΑΣ,Α' ΓΥΜΝΑΣΙΟ ΑΡΓΥΡΟΥΠΟΛΗΣ,ΑΡΓΥΡΟΥΠΟΛΗ,16451.0,ΕΛΛΗΝΙΚΟΥ – ΑΡΓΥΡΟΥΠΟΛΗΣ,49722.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"23826,53",117.0,98.0
189,37.9795722,23.8473979,46,Δ.Ε. ΓΛΥΚΩΝ ΝΕΡΩΝ,1,ΑΝΝΑΣ ΜΑΡΙΑΣ 46  Δήμος Δ.Ε. ΓΛΥΚΩΝ ΝΕΡΩΝ ΤΚ 15354,ΑΝΝΑΣ ΜΑΡΙΑΣ,3 ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΛΥΚΑ ΝΕΡΑ,ΓΛΥΚΑ ΝΕΡΑ,15354.0,ΠΑΙΑΝΙΑΣ,27916.0,Περιφερειακή Ενότητα Ανατολικής Αττικής,"26814,73",100.0,91.0
190,38.0034009,23.6953883,32,ΠΕΡΙΣΤΕΡΙΟΥ,1,ΑΝΤΙΦΑΝΟΥΣ 32  Δήμος ΠΕΡΙΣΤΕΡΙΟΥ ΤΚ 12131,ΑΝΤΙΦΑΝΟΥΣ,"35 ΔΗΜΟΤ. & 29,31 ΝΗΠΙΑΓΩΓΕΙΑ",ΠΕΡΙΣΤΕΡΙ,12131.0,ΠΕΡΙΣΤΕΡΙΟΥ,132123.0,Περιφερειακή Ενότητα Δυτικού Τομέα Αθηνών,"19972,54",13.0,12.0
191,37.9435085,23.7484394,34,ΗΛΙΟΥΠΟΛΕΩΣ,1,ΑΝΤΥΠΑ Μ. ΛΕΩΦ. 34  Δήμος ΗΛΙΟΥΠΟΛΕΩΣ ΤΚ 16346,ΑΝΤΥΠΑ Μ. ΛΕΩΦ.,6 ΔΗΜΟΤΙΚΟ,ΑΓ. ΚΩΝΣΤΑΝΤΙΝΟΣ,16346.0,ΗΛΙΟΥΠΟΛΕΩΣ,76708.0,Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών,"24040,73",104.0,105.0
192,38.0598913,23.7904573,1,ΠΕΥΚΗΣ,5/8,ΑΠΟΛΛΩΝΟΣ 1  Δήμος ΠΕΥΚΗΣ ΤΚ 15121,ΑΠΟΛΛΩΝΟΣ,10 ΛΥΚΕΙΟ ΠΕΥΚΗΣ,ΠΕΥΚΗ,15121.0,ΛΥΚΟΒΡΥΣΗΣ - ΠΕΥΚΗΣ,30996.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"30867,21",137.0,130.0
193,38.0365575999999,23.7594674,1,ΝΕΑΣ ΙΩΝΙΑΣ,5/8,ΑΠΟΛΛΩΝΟΣ 1 Ξ Δήμος ΝΕΑΣ ΙΩΝΙΑΣ ΤΚ 14233,ΑΠΟΛΛΩΝΟΣ,6 ΔΗΜΟΤΙΚΟ,ΣΑΦΡΑΜΠΟΛΙΣ,14233.0,ΝΕΑΣ ΙΩΝΙΑΣ,64107.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"20711,46",156.0,177.0
194,37.9509611,23.718629,2,ΝΕΑΣ ΣΜΥΡΝΗΣ,5/8,ΑΠΟΣΤΟΛΑΚΗ 2  Δήμος ΝΕΑΣ ΣΜΥΡΝΗΣ ΤΚ 17121,ΑΠΟΣΤΟΛΑΚΗ,4 ΔΗΜΟΤΙΚΟ-7 ΝΗΠΙΑΓΩΓΕΙΟ,ΝΕΑ ΣΜΥΡΝΗ,17121.0,ΝΕΑΣ ΣΜΥΡΝΗΣ,72546.0,Περιφερειακή Ενότητα Νοτίου Τομέα Αθηνών,"26983,55",0.0,0.0
195,38.0497314,23.7673037,93,ΗΡΑΚΛΕΙΟΥ,5/8,ΑΠΟΣΤΟΛΟΥ ΗΛΕΚΤΡΑΣ 93 Κ Δήμος ΗΡΑΚΛΕΙΟΥ ΤΚ 14122,ΑΠΟΣΤΟΛΟΥ ΗΛΕΚΤΡΑΣ,10 ΝΗΠΙΑΓΩΓΕΙΟ,ΗΡΑΚΛΕΙΟ,14122.0,ΗΡΑΚΛΕΙΟΥ,50495.0,Περιφερειακή Ενότητα Βορείου Τομέα Αθηνών,"24674,11",23.0,23.0
